# ['HME_fit', 'amp_fac', 'pha_fac']
 HME_DE3_1 1.0197 129.1074
 HME_DE3_2 0.3073 134.7245
 HME_DE2_1 0.2789 38.9436
 HME_DE2_2 0.1500 127.7727
 HME_DE1_1 0.0155 112.5713
 HME_DE1_2 0.1611 186.5431
  HME_D0_1 0.2188 250.0176
  HME_D0_2 0.1185 313.2634
 HME_DW1_1 1.2479 150.1217
 HME_DW2_1 0.4959 203.9121
 HME_SE3_1 0.0609 136.3619
 HME_SE3_2 0.0779 351.9490
 HME_SE3_3 0.0568 211.0216
 HME_SE3_4 0.0702 192.6351
 HME_SE2_1 0.0724 200.2083
 HME_SE2_2 0.2471 213.2776
 HME_SE2_3 0.0536 283.8348
 HME_SE2_4 0.0448 134.1726
 HME_SE1_1 0.0128 128.0423
 HME_SE1_2 0.0327 227.7371
 HME_SE1_3 0.0457 322.8605
 HME_SE1_4 0.0532 222.0208
  HME_S0_1 0.0090 217.5378
  HME_S0_2 0.0505 22.1275
  HME_S0_3 0.1477 0.4350
  HME_S0_4 0.0763 154.3875
 HME_SW1_1 0.0378 56.1219
 HME_SW1_2 0.1420 111.4561
 HME_SW1_3 0.3321 60.5370
 HME_SW1_4 0.0966 74.7163
 HME_SW2_1 0.2918 176.1693
 HME_SW2_2 0.2593 41.0955
 HME_SW2_3 0.5485 320.1300
 HME_SW2_4 0.2801 244.0289
 HME_SW3_1 0.3612 281.7877
 HME_SW3_2 0.3119 53.1364
 HME_SW3_3 0.0724 280.3137
 HME_SW3_4 0.0850 313.0753
 HME_SW4_1 0.2668 139.7780
 HME_SW4_2 0.1491 146.7875
 HME_SW4_3 0.1144 71.4931
 HME_SW4_4 0.0538 320.6440
 HME_SW6_1 0.1437 312.5760
 HME_SW6_2 0.1180 336.1637
 HME_SW6_3 0.0237 204.7940
 HME_TW3_1 0.0967 268.6726
 HME_TW3_2 0.0874 160.4731
 HME_TW3_3 0.3272 148.1010
 HME_TW3_4 0.0439 265.9990
